Question,Answer
"In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",neural networks;training neural networks;recursive neural networks
"In the domain of Natural Language Processing, I know about the concept of deep learning introduction, now I want to learn about the concept of word embedding variations, what concept path should I follow?",deep learning introduction;word embedding;word embedding variations
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;semantic similarity;thesaurus-based similarity
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",natural language processing intro;vector representations;structured learning;linear discriminant analysis
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of word distributions, what concept path should I follow?",structured learning;word distributions
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of social media analysis, what concept path should I follow?",machine learning resources;random walks and harmonic functions;sentiment analysis;social media analysis
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of text to speech generation, what concept path should I follow?",linguistics basics;speech processing;text to speech generation
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of text to speech generation, what concept path should I follow?",loss function;speech processing;text to speech generation
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of bayes theorem, what concept path should I follow?",probabilities;bayes theorem
"In the domain of Natural Language Processing, I know about the concept of bayes theorem, now I want to learn about the concept of neural question answering, what concept path should I follow?",bayes theorem;question answering;neural question answering
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of linear regression, what concept path should I follow?",machine learning resources;linear regression
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of sentence boundary recognition, what concept path should I follow?",loss function;classification;sentence boundary recognition
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",linguistics basics;shift-reduce parsing;transition based dependency parsing
"In the domain of Natural Language Processing, I know about the concept of multilingual machine translation, now I want to learn about the concept of universal cross-language representation, what concept path should I follow?",multilingual machine translation;universal cross-language representation
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of neural language modeling, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;neural language modeling
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of relation extraction, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;relation extraction
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of bag of words model, what concept path should I follow?",n-gram models;word distributions;vector representations;bag of words model
"In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of Unsupervised learning, what concept path should I follow?",random walks and harmonic functions;Unsupervised learning
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of tsne, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;tsne
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of speech processing, what concept path should I follow?",optimization;machine learning resources;loss function;speech processing
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of neural question answering, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;neural question answering
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of social network extraction, what concept path should I follow?",natural language processing intro;vector representations;structured learning;sentence representations;information extraction;social network extraction
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of hidden markov models, what concept path should I follow?",probabilities;bayesian network;hidden markov models
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of lexicography, what concept path should I follow?",linguistics basics;lexicography
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of neural question answering, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;neural question answering
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of semantic role labeling, what concept path should I follow?",linguistics basics;semantic role labeling
"In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of spectral clustering, what concept path should I follow?",random walks and harmonic functions;Unsupervised learning;spectral clustering
"In the domain of Natural Language Processing, I know about the concept of dependency parsing, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",dependency parsing;transition based dependency parsing
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of language identification, what concept path should I follow?",linguistics basics;language identification
"In the domain of Natural Language Processing, I know about the concept of language modeling, now I want to learn about the concept of text generation, what concept path should I follow?",language modeling;evaluation of language modeling;text generation
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Unsupervised learning, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;Unsupervised learning
"In the domain of Natural Language Processing, I know about the concept of question answering, now I want to learn about the concept of long-form question answering, what concept path should I follow?",question answering;long-form question answering
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of mathematical models, what concept path should I follow?",probabilities;mathematical models
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of first-order logic, what concept path should I follow?",natural language processing intro;parsing;semi supervised learning;first-order logic
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of text mining, what concept path should I follow?",vector representations;structured learning;sentence representations;text mining
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of spectral clustering, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;spectral clustering
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of context free grammars, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;context free grammars
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of nlp for biology, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;bio text mining;nlp for biology
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",structured learning;word distributions;vector representations;word embedding;word embedding variations;multilingual word embedding
"In the domain of Natural Language Processing, I know about the concept of machine translation, now I want to learn about the concept of machine translation techniques, what concept path should I follow?",machine translation;machine translation techniques
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of k means, what concept path should I follow?",random walks and harmonic functions;Unsupervised learning;k means
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of query expansion, what concept path should I follow?",linguistics basics;morphology and lexicon;query expansion
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of agent-based view of ai, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;reinforcement learning;agent-based view of ai
"In the domain of Natural Language Processing, I know about the concept of clustering, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",clustering;Mixture Models;expectation maximization algorithm
"In the domain of Natural Language Processing, I know about the concept of python, now I want to learn about the concept of tools for dl, what concept path should I follow?",python;tools for dl
"In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of syntaxnet, what concept path should I follow?",neural networks;syntaxnet
"In the domain of Natural Language Processing, I know about the concept of lexical semantics, now I want to learn about the concept of event detection, what concept path should I follow?",lexical semantics;event detection
"In the domain of Natural Language Processing, I know about the concept of beam search, now I want to learn about the concept of neural summarization, what concept path should I follow?",beam search;neural summarization
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of bio text mining, what concept path should I follow?",vector representations;structured learning;vector semantics;bio text mining
"In the domain of Natural Language Processing, I know about the concept of seq2seq, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",seq2seq;neural summarization;scientific article summarization
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of evaluation of language modeling, what concept path should I follow?",n-gram models;word distributions;language modeling;evaluation of language modeling
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of tsne, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;tsne
"In the domain of Natural Language Processing, I know about the concept of search, now I want to learn about the concept of logic and logical agents, what concept path should I follow?",search;logic and logical agents
"In the domain of Natural Language Processing, I know about the concept of dimensionality reduction, now I want to learn about the concept of matrix factorization, what concept path should I follow?",dimensionality reduction;Principal Component Analysis;matrix factorization
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Variations of GANs, what concept path should I follow?",loss function;Variations of GANs
"In the domain of Natural Language Processing, I know about the concept of word embedding variations, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",word embedding variations;word sense disambiguation
"In the domain of Natural Language Processing, I know about the concept of text similarity, now I want to learn about the concept of event detection, what concept path should I follow?",text similarity;event detection
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",optimization;machine learning resources;word embedding;word embedding variations;word sense disambiguation
"In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of memory networks, what concept path should I follow?",Unsupervised learning;neural networks;memory networks
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",machine learning resources;word embedding;word embedding variations;word sense disambiguation
"In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of graph convolutional networks, what concept path should I follow?",semi-supervised learning;graph convolutional networks
"In the domain of Natural Language Processing, I know about the concept of semi supervised learning, now I want to learn about the concept of first-order logic, what concept path should I follow?",semi supervised learning;first-order logic
"In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of graph convolutional networks, what concept path should I follow?",Unsupervised learning;neural networks;convolutional neural networks;graph convolutional networks
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Unsupervised learning, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;Unsupervised learning
"In the domain of Natural Language Processing, I know about the concept of monte carlo methods, now I want to learn about the concept of latent dirichlet allocation, what concept path should I follow?",monte carlo methods;latent dirichlet allocation
"In the domain of Natural Language Processing, I know about the concept of aspect-sentiment pairs, now I want to learn about the concept of sentiment knowledge, what concept path should I follow?",aspect-sentiment pairs;sentiment knowledge
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of context free grammars, what concept path should I follow?",linguistics basics;context free grammars
"In the domain of Natural Language Processing, I know about the concept of training neural networks, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",training neural networks;recursive neural networks
